label,x,y,plot_type,plot_num
KHV,0,164511.607907053,path,16
KHV,50,164511.607907053,path,16
KHV,53.9555183967242,166314.849870266,path,16
KHV,58.2239593091847,167968.031135801,path,16
KHV,62.8300781527367,169424.079709361,path,16
KHV,67.8005887527521,170637.389134226,path,16
KHV,73.1643182751568,171796.603484021,path,16
KHV,78.9523744135801,172879.724854555,path,16
KHV,85.1983258027395,173646.07256635,path,16
KHV,91.9383967043962,173845.021804186,path,16
KHV,99.2116770949874,173126.254231413,path,16
KHV,107.060349373369,171595.16542232,path,16
KHV,115.529933003491,169527.103352462,path,16
KHV,124.669548510843,167108.195544918,path,16
KHV,134.532202363761,163301.303826605,path,16
KHV,145.175094391795,158023.192185165,path,16
KHV,156.659949524053,151669.617249295,path,16
KHV,169.053375771499,144355.917233358,path,16
KHV,182.427250529348,134394.484335288,path,16
KHV,196.859137440001,122683.534810905,path,16
KHV,212.432736234144,110571.005744428,path,16
KHV,229.238368158957,98689.3000523458,path,16
KHV,247.373499808712,85971.6139135756,path,16
KHV,266.94330839582,73644.9492310509,path,16
KHV,288.061291740662,62755.6881223319,path,16
KHV,310.849926517948,53483.7636006856,path,16
KHV,335.44137857719,45023.8887548249,path,16
KHV,361.978269456881,37902.0507021426,path,16
KHV,390.614503537903,32395.1237376052,path,16
KHV,421.516160633332,28310.3924013154,path,16
KHV,454.862459191365,24959.1871971596,path,16
KHV,490.846795697578,22284.4962698415,path,16
KHV,529.677866304675,20254.9270776812,path,16
KHV,571.58087719479,18842.4845775783,path,16
KHV,616.798850693984,17834.0394905703,path,16
KHV,665.594034713952,16904.0046867321,path,16
KHV,718.249423695169,15791.2174520951,path,16
KHV,775.070399872424,14351.469314565,path,16
KHV,836.386504381459,12704.525877311,path,16
KHV,902.553348478512,11012.7553119549,path,16
KHV,973.954675957147,9397.2787522671,path,16
KHV,1051.00458872363,7699.27080859104,path,16
KHV,1134.14994843838,6212.73273258063,path,16
KHV,1223.87296815222,4961.53354605196,path,16
KHV,1320.69400896781,3866.85398138543,path,16
KHV,1425.17459794612,3019.84778000279,path,16
KHV,1537.92068476051,2426.46834432224,path,16
KHV,1659.58615598597,2059.69713528261,path,16
KHV,1790.876627405,1896.47934358213,path,16
KHV,1932.55353632427,1942.98934985569,path,16
KHV,2085.43855763597,2191.79966944347,path,16
KHV,2250.41836923531,2606.61975304514,path,16
KHV,2428.44979443204,3126.53442972829,path,16
KHV,2620.56535117997,3677.2002241487,path,16
KHV,2827.87924030818,4383.48649941158,path,16
KHV,3051.59380748325,5260.43125324156,path,16
KHV,3293.00651637983,6276.0527473474,path,16
KHV,3553.51747350129,7363.92452276881,path,16
KHV,3834.63754829159,8585.36634168914,path,16
KHV,4137.99713563233,9950.16659903546,path,16
KHV,4465.35561154404,11405.1700391322,path,16
KHV,4818.61153693159,12863.2568421018,path,16
KHV,5199.8136685516,14295.8210912489,path,16
KHV,5611.17284106147,15781.3499997586,path,16
KHV,6055.07478906182,17235.6059649485,path,16
KHV,6534.09398349531,18543.494428296,path,16
KHV,7051.00856264812,19602.4637330033,path,16
KHV,7608.8164443484,20560.6299947154,path,16
KHV,8210.75271280675,21404.6400120309,path,16
KHV,8860.30838093594,22062.0827174809,path,16
KHV,9561.25063696476,22486.6746078271,path,16
KHV,10317.6446927689,22837.9152523691,path,16
KHV,11133.8773606311,23110.6458861495,path,16
KHV,12014.682495168,23250.9495710566,path,16
KHV,12965.1684479767,23195.9421228142,path,16
KHV,13990.8476942287,22943.3674458327,path,16
KHV,15097.6688030345,22593.9661464071,path,16
KHV,16292.0509369955,22242.9251493759,path,16
KHV,17580.9210810286,21821.3598146012,path,16
KHV,18971.7542163758,21357.0136269903,path,16
KHV,20472.6166727959,20950.1426057507,path,16
KHV,22092.2129103624,20622.0080049681,path,16
KHV,23839.9360021881,20328.7379403474,path,16
KHV,25725.9221108557,20087.0609212549,path,16
KHV,27761.1092744994,19886.1529915947,path,16
KHV,29957.3008434744,19709.0606722744,path,16
KHV,32327.2339355257,19597.2358199198,path,16
KHV,34884.6533064692,19553.6192537737,path,16
KHV,37644.3910648109,19523.1260764906,path,16
KHV,40622.4526926176,19508.8543643644,path,16
KHV,43836.1098715318,19528.0317335792,path,16
KHV,47304.000652285,19600.087268417,path,16
KHV,51046.2375486604,19709.4515856486,path,16
KHV,55084.5241828059,19939.0203172269,path,16
KHV,59442.2811584036,20449.7334056249,path,16
KHV,64144.7818917099,20945.9675418747,path,16
KHV,69219.2991882403,21097.5499242637,path,16
KHV,74695.263415189,21096.5989260931,path,16
KHV,80604.4331869277,21091.9938593678,path,16
KHV,86981.079553496,21080.8265494817,path,16
KHV,93862.1847603116,21060.1997009417,path,16
