label,x,y,plot_type,plot_num
MSL,0,62136.9575603644,path,18
MSL,50,62136.9575603644,path,18
MSL,53.9776892627169,62566.4583967217,path,18
MSL,58.2718187628485,62955.7689167145,path,18
MSL,62.907562519088,63292.0497223021,path,18
MSL,67.9120972386054,63563.3901555197,path,18
MSL,73.3147616384971,63816.2749309285,path,18
MSL,79.1472284418592,64045.741816465,path,18
MSL,85.4436900567989,64201.63119498,path,18
MSL,92.2410590269158,64232.3027670437,path,18
MSL,99.5791844283759,64093.2739514389,path,18
MSL,107.501085482193,63816.2543347625,path,18
MSL,116.053203751252,63449.3256885007,path,18
MSL,125.285675400557,63011.7929859842,path,18
MSL,135.252625116818,62315.9636289657,path,18
MSL,146.012483410446,61363.3295119778,path,18
MSL,157.628329160134,60209.9532086239,path,18
MSL,170.168259408139,58818.3098457018,path,18
MSL,183.705788574199,56877.1129711478,path,18
MSL,198.32027942841,54553.5007338239,path,18
MSL,214.097408349638,52059.0477950763,path,18
MSL,231.129667596996,49405.3456221606,path,18
MSL,249.516907538914,46366.5612292849,path,18
MSL,269.366922018591,43253.999282332,path,18
MSL,290.79608028748,40342.837999627,path,18
MSL,313.930009211474,37593.69562078,path,18
MSL,338.904329749176,34862.8555748962,path,18
MSL,365.865452019808,32464.0101392291,path,18
MSL,394.971433621773,30635.8926145021,path,18
MSL,426.392906233718,29147.817236649,path,18
MSL,460.314075930208,27806.0942695798,path,18
MSL,496.933803076309,26871.3888089667,path,18
MSL,536.466768131864,26572.6753510365,path,18
MSL,579.144730199915,26690.9879758689,path,18
MSL,625.217885697421,26955.4373709181,path,18
MSL,674.956335113366,27307.2947222394,path,18
MSL,728.65166645303,27695.4911379852,path,18
MSL,786.618664651251,28243.7948057291,path,18
MSL,849.197156975971,28948.4000010373,path,18
MSL,916.754005240632,29724.151891627,path,18
MSL,989.6852565046,30493.7245880707,path,18
MSL,1068.41846486995,31325.1722858307,path,18
MSL,1153.41519798599,32202.2505746345,path,18
MSL,1245.17374295565,33070.2363261839,path,18
MSL,1344.23202750709,33926.7059238871,path,18
MSL,1451.17077355539,34925.3625765644,path,18
MSL,1566.61690164219,35840.5362334323,path,18
MSL,1691.24720621125,36371.5501774453,path,18
MSL,1825.79232326618,36075.6269049931,path,18
MSL,1971.04101367032,35021.3827821397,path,18
MSL,2127.84478719934,34127.6467278545,path,18
MSL,2297.12289445476,33180.3148330898,path,18
MSL,2479.86771590304,32180.009945533,path,18
MSL,2677.15057963316,31157.5575133874,path,18
MSL,2890.12804193883,30140.6244059466,path,18
MSL,3120.04866754477,29153.636981844,path,18
MSL,3368.26034922571,28217.9164726074,path,18
MSL,3636.21820972872,27351.9881256286,path,18
MSL,3925.49313232339,26572.025292047,path,18
MSL,4237.78096998963,25892.3975031441,path,18
MSL,4574.91248723111,25326.3015472705,path,18
MSL,4938.86409279768,24886.4659898122,path,18
MSL,5331.76942623648,24585.9322388381,path,18
MSL,5755.93186619695,24438.9293754395,path,18
MSL,6213.83803381898,24573.559433696,path,18
MSL,6708.17237036666,25329.2443068296,path,18
MSL,7241.8328745679,26553.8141903161,path,18
MSL,7817.94809191908,28037.6241197319,path,18
MSL,8439.89545555318,29527.3334608266,path,18
MSL,9111.32108619333,30713.9076923984,path,18
MSL,9836.16116726768,31248.7645227157,path,18
MSL,10618.6650204956,31179.7298590109,path,18
MSL,11463.4200172238,30953.7730856935,path,18
MSL,12375.3784715543,30614.2763353375,path,18
MSL,13359.8866729215,30201.1523920755,path,18
MSL,14422.7162283214,29745.421519718,path,18
MSL,15570.0978979336,29045.8176401202,path,18
MSL,16808.7581224948,28126.5133087699,path,18
MSL,18145.9584565639,27150.6507617135,path,18
MSL,19589.5381388515,26186.604389292,path,18
MSL,21147.9600491814,25151.6420047154,path,18
MSL,22830.3603215013,24126.6077227677,path,18
MSL,24646.6019037972,23129.8933861123,path,18
MSL,26607.3323789011,22150.5752463592,path,18
MSL,28724.046385163,21189.8281087506,path,18
MSL,31009.1530029239,20274.0483368726,path,18
MSL,33476.0485018374,19434.7722549748,path,18
MSL,36139.1948755165,18687.2005047872,path,18
MSL,39014.204623908,18032.8606444944,path,18
MSL,42117.9322804272,17513.1962509985,path,18
MSL,45468.5732204211,17122.4727460685,path,18
MSL,49085.7703302196,16841.7338933815,path,18
MSL,52990.7291621137,16688.7808500294,path,18
MSL,57206.3422503473,16621.8528112129,path,18
MSL,61757.3233169177,16765.9551810656,path,18
MSL,66670.3521539545,16993.5369682157,path,18
MSL,71974.2310320414,17223.3911892672,path,18
MSL,77700.0535514105,17573.8313951417,path,18
MSL,83881.3869258901,18333.4423354267,path,18
MSL,90554.4687682284,19624.9046400692,path,18
MSL,97758.4195304368,21398.0245663138,path,18
