label,x,y,plot_type,plot_num
TSI,0,174186.146209186,path,24
TSI,50,174186.146209186,path,24
TSI,53.9834343025566,175849.162501139,path,24
TSI,58.2842235819689,177376.284397929,path,24
TSI,62.9276510922548,178727.092743613,path,24
TSI,67.9410143710588,179860.815813652,path,24
TSI,73.3537857149821,180933.395499073,path,24
TSI,79.197785439771,181955.1317119,path,24
TSI,85.5073689439171,182708.721048768,path,24
TSI,92.3196286753683,182971.918790348,path,24
TSI,99.6746121886634,182187.988356462,path,24
TSI,107.61555757439,180310.668934684,path,24
TSI,116.189147645002,177724.715176521,path,24
TSI,125.44578437128,174793.651405323,path,24
TSI,135.439885182794,170665.581326844,path,24
TSI,146.230202874223,164963.585029486,path,24
TSI,157.880170998203,158136.443166366,path,24
TSI,170.458276775158,150580.371023737,path,24
TSI,184.038463712375,141129.974247413,path,24
TSI,198.700566299209,129908.397239753,path,24
TSI,214.530779333882,118022.724913859,path,24
TSI,231.622164640938,106303.4353644,path,24
TSI,250.075198158201,93861.8755553293,path,24
TSI,269.998360609441,81305.5986980099,path,24
TSI,291.508775235155,69803.8541101487,path,24
TSI,314.732896330515,59963.0280958277,path,24
TSI,339.807252638234,51058.0072693596,path,24
TSI,366.879249966567,43216.6096176889,path,24
TSI,396.108037750828,36800.568156176,path,24
TSI,427.665444652729,31875.7593889569,path,24
TSI,461.736988697685,27826.9033811735,path,24
TSI,498.522967888436,24485.3025713439,path,24
TSI,538.239637706418,21882.2144534572,path,24
TSI,581.120482423126,20006.841461177,path,24
TSI,627.417587695177,18661.9389544017,path,24
TSI,677.403122512222,17583.8169213211,path,24
TSI,731.370939209705,16579.8967030084,path,24
TSI,789.638300952525,15517.5164903466,path,24
TSI,852.547746845061,14515.9459305427,path,24
TSI,920.46910563206,13538.0263307223,path,24
TSI,993.801669828426,12498.1027443168,path,24
TSI,1072.97654305908,11299.8254558339,path,24
TSI,1158.45917440828,9858.76754372018,path,24
TSI,1250.75209467727,8441.06306951015,path,24
TSI,1350.39787063591,7050.48500279558,path,24
TSI,1457.98229463572,5815.09491205794,path,24
TSI,1574.13782833516,4793.7924332965,path,24
TSI,1699.547320782,3998.1113409941,path,24
TSI,1834.94802271043,3414.69895029785,path,24
TSI,1981.13592065189,3023.01618794906,path,24
TSI,2138.97041633893,2807.93905046093,path,24
TSI,2309.37937891089,2775.26881506363,path,24
TSI,2493.3645996223,3013.23095307427,path,24
TSI,2692.00768112062,3528.55417128226,path,24
TSI,2906.47639591505,4308.45033494661,path,24
TSI,3138.03155141623,5303.08090997646,path,24
TSI,3388.03440190456,6361.23154177237,path,24
TSI,3657.95465100033,7499.95856350733,path,24
TSI,3949.37909168015,8889.75744611826,path,24
TSI,4264.02093463213,10459.7340020424,path,24
TSI,4603.72987978879,12062.5004873634,path,24
TSI,4970.50299024589,13565.7855216283,path,24
TSI,5366.49643249201,15064.9036350928,path,24
TSI,5794.03815196673,16529.4228273631,path,24
TSI,6255.64155846405,17916.6631437356,path,24
TSI,6754.02030183374,19254.5133279996,path,24
TSI,7292.10422484351,20547.1617577688,path,24
TSI,7873.0565869847,21689.8095200473,path,24
TSI,8500.29266047598,22602.9487761968,path,24
TSI,9177.49980778618,23482.6585299651,path,24
TSI,9908.65915870702,24199.4583268863,path,24
TSI,10698.0690144097,24518.9212610463,path,24
TSI,11550.3701160721,24478.1242075734,path,24
TSI,12470.5729266238,24353.7448430082,path,24
TSI,13464.0870859927,24169.5611407168,path,24
TSI,14536.7532130118,23866.4024468683,path,24
TSI,15694.877240942,23203.5262711446,path,24
TSI,16945.2674884617,22420.2417872405,path,24
TSI,18295.2746840524,21752.4368914308,path,24
TSI,19752.8351790754,21106.6712837367,path,24
TSI,21326.5176035769,20528.6794108193,path,24
TSI,23025.5732391002,20101.7876573035,path,24
TSI,24859.9904046334,19750.6369280014,path,24
TSI,26840.5531754144,19484.2987933917,path,24
TSI,28978.9047797852,19322.8815426972,path,24
TSI,31287.6160467915,19196.6189983839,path,24
TSI,33780.2593069117,19123.3237534761,path,24
TSI,36471.4881803599,19119.3557173686,path,24
TSI,39377.1237220185,19135.6224984616,path,24
TSI,42514.2474294246,19163.8406611265,path,24
TSI,45901.3016605796,19234.6028200113,path,24
TSI,49558.1980519146,19428.4838286903,path,24
TSI,53506.4345737724,19702.6231280729,path,24
TSI,57769.2219115457,20064.0646476669,path,24
TSI,62371.6199154348,20648.230772043,path,24
TSI,67340.6849209782,21292.1717689441,path,24
TSI,72705.6288064158,21790.0434734421,path,24
TSI,78497.9907219443,22190.6997864089,path,24
TSI,84751.8225004155,22553.9607082453,path,24
TSI,91503.8888394624,22860.8680460796,path,24
TSI,98793.8834318712,23091.9094452015,path,24
