pop1	pop2	n.overlap	n.total
ACB	ACB	65940	65940
ACB	ASW	53539	63494
ACB	BEB	39830	56849
ACB	CDX	41566	58684
ACB	CEU	37413	54772
ACB	CHB	36653	55208
ACB	CHS	38405	55850
ACB	CLM	44898	59712
ACB	ESN	56328	65657
ACB	FIN	37123	54614
ACB	GBR	40677	57605
ACB	GIH	40397	57285
ACB	GWD	52197	62412
ACB	IBS	39884	56699
ACB	ITU	41871	58138
ACB	JPT	38026	55328
ACB	KHV	41820	58776
ACB	LWK	55717	65753
ACB	MSL	55958	65425
ACB	MXL	43403	59581
ACB	PEL	38459	55183
ACB	PJL	41720	57886
ACB	PUR	37899	53938
ACB	STU	41962	58197
ACB	TSI	40364	57148
ACB	YRI	52061	61347
ASW	ACB	53539	63494
ASW	ASW	61048	61048
ASW	BEB	38614	54403
ASW	CDX	40043	56238
ASW	CEU	36347	52326
ASW	CHB	35226	52762
ASW	CHS	37039	53404
ASW	CLM	43597	57266
ASW	ESN	52296	63211
ASW	FIN	35993	52168
ASW	GBR	39395	55159
ASW	GIH	39284	54839
ASW	GWD	49103	59966
ASW	IBS	38668	54253
ASW	ITU	40667	55692
ASW	JPT	36660	52882
ASW	KHV	40299	56330
ASW	LWK	52264	63307
ASW	MSL	52165	62979
ASW	MXL	42192	57135
ASW	PEL	37452	52737
ASW	PJL	40380	55440
ASW	PUR	37083	51492
ASW	STU	40646	55751
ASW	TSI	39014	54702
ASW	YRI	48658	58901
BEB	ACB	39830	56849
BEB	ASW	38614	54403
BEB	BEB	47758	47758
BEB	CDX	36803	49593
BEB	CEU	34260	45681
BEB	CHB	31906	46117
BEB	CHS	33878	46759
BEB	CLM	38584	50621
BEB	ESN	38725	56566
BEB	FIN	34109	45523
BEB	GBR	36660	48514
BEB	GIH	38841	48194
BEB	GWD	37299	53321
BEB	IBS	35848	47608
BEB	ITU	38796	49047
BEB	JPT	34132	46237
BEB	KHV	36779	49685
BEB	LWK	39102	56662
BEB	MSL	38799	56334
BEB	MXL	37965	50490
BEB	PEL	33811	46092
BEB	PJL	39227	48795
BEB	PUR	33160	44847
BEB	STU	38662	49106
BEB	TSI	36230	48057
BEB	YRI	36522	52256
CDX	ACB	41566	58684
CDX	ASW	40043	56238
CDX	BEB	36803	49593
CDX	CDX	51428	51428
CDX	CEU	34140	47516
CDX	CHB	35907	47952
CDX	CHS	38108	48594
CDX	CLM	38709	52456
CDX	ESN	40712	58401
CDX	FIN	34050	47358
CDX	GBR	36781	50349
CDX	GIH	36988	50029
CDX	GWD	38650	55156
CDX	IBS	35829	49443
CDX	ITU	38177	50882
CDX	JPT	37401	48072
CDX	KHV	41725	51520
CDX	LWK	40924	58497
CDX	MSL	40727	58169
CDX	MXL	38678	52325
CDX	PEL	34661	47927
CDX	PJL	38000	50630
CDX	PUR	32709	46682
CDX	STU	38075	50941
CDX	TSI	36246	49892
CDX	YRI	38057	54091
CEU	ACB	37413	54772
CEU	ASW	36347	52326
CEU	BEB	34260	45681
CEU	CDX	34140	47516
CEU	CEU	43604	43604
CEU	CHB	30930	44040
CEU	CHS	32423	44682
CEU	CLM	37292	48544
CEU	ESN	36394	54489
CEU	FIN	35235	43446
CEU	GBR	38434	46437
CEU	GIH	34952	46117
CEU	GWD	34614	51244
CEU	IBS	37069	45531
CEU	ITU	36544	46970
