pop	n_intersect_chm13	n_intersect_hg38	total_chm13	total_hg38
ACB	2366	2931	2521	3251
ASW	1980	2966	2140	3339
BEB	3303	3388	3609	3807
CDX	3605	2794	3958	3113
CEU	3597	3436	3894	3811
CHB	3493	3006	3858	3339
CHS	3501	3045	3824	3367
CLM	2706	2791	2948	3198
ESN	2643	2709	2836	3044
FIN	3148	2957	3449	3322
GBR	3963	3776	4335	4274
GIH	3499	2778	3817	3070
GWD	2370	3222	2501	3492
IBS	3606	3194	3920	3506
ITU	3588	3875	3916	4377
JPT	3318	2828	3622	3140
KHV	3653	2567	4010	2830
LWK	1679	2129	1842	2439
MSL	2730	3866	2929	4247
MXL	2983	2575	3318	2983
PEL	2236	1911	2468	2176
PJL	3522	3925	3836	4424
PUR	1930	2196	2096	2473
STU	3499	3095	3838	3476
TSI	3898	3573	4228	3959
YRI	2162	2745	2284	3006
