Chr,Start,variance
chrX,1,2.48590229309615
chrX,1000001,1.08126294022775
chr13,1000001,0.645987269394551
chr12,128000001,0.640551656942684
chr13,13000001,0.531634921271701
chr1,142000001,0.486012221209889
chr1,142000001,0.486012221209889
chr22,19000001,0.46684829276968
chr1,129000001,0.464764403833512
chr1,129000001,0.464764403833512
chr7,156000001,0.455547813142535
chr13,10000001,0.455545250014424
chr13,17000001,0.442811992360442
chr17,73000001,0.432224826304596
chr5,2000001,0.413231829759827
chr14,100000001,0.402957377819799
chr9,1,0.399024397532002
chr20,4000001,0.385215379842675
chr7,155000001,0.377441785540222
chr22,18000001,0.372174712572526
chr15,18000001,0.351607485081351
chr1,130000001,0.335174817168672
chr1,131000001,0.335174817168672
chr1,130000001,0.335174817168672
chr1,131000001,0.335174817168672
chr19,56000001,0.328032710993051
chr22,27000001,0.321027712166324
chr6,59000001,0.317774806628256
chr6,60000001,0.317774806628256
chr13,105000001,0.315457722726923
chr10,132000001,0.313066392390443
chr9,60000001,0.309532343391052
chr14,7000001,0.307508898825347
chr16,48000001,0.305427919217626
chr4,190000001,0.299181814306387
chr12,127000001,0.298195344533484
chr17,9000001,0.294712176035358
chr10,39000001,0.293807801523205
chr13,11000001,0.289219938855904
chrX,149000001,0.283037113399858
chr19,57000001,0.265728134847755
chr1,133000001,0.263653530258833
chr1,134000001,0.263653530258833
chr1,135000001,0.263653530258833
chr1,133000001,0.263653530258833
chr1,134000001,0.263653530258833
chr1,135000001,0.263653530258833
chr14,12000001,0.260612805455204
chr18,15000001,0.259500298946076
chrX,12000001,0.25514794631075
chr10,40000001,0.251621882924007
chr1,137000001,0.251339172453559
chr1,138000001,0.251339172453559
chr1,139000001,0.251339172453559
chr1,140000001,0.251339172453559
chr1,141000001,0.251339172453559
chr1,137000001,0.251339172453559
chr1,138000001,0.251339172453559
chr1,139000001,0.251339172453559
chr1,140000001,0.251339172453559
chr1,141000001,0.251339172453559
chr9,52000001,0.246231919061188
chr18,20000001,0.246013448376758
chr19,55000001,0.245698733673532
chr10,41000001,0.245689072118341
chr1,4000001,0.24194683425279
chr1,4000001,0.24194683425279
chr6,61000001,0.241614382205214
chr20,1000001,0.241554949805797
chr5,179000001,0.239310019273209
chr6,58000001,0.236362444822362
chr13,1,0.234548137340745
chr16,39000001,0.232791478467969
chr22,46000001,0.232624993503331
chr14,5000001,0.231024051808619
chr16,85000001,0.228555469717112
chr11,2000001,0.228026322124952
chr14,10000001,0.224698536914532
chr15,5000001,0.224609403708812
chr1,136000001,0.224238777123752
chr1,136000001,0.224238777123752
chr21,40000001,0.220818062092919
chr15,91000001,0.219701116901904
chr13,21000001,0.219267479920226
chr1,132000001,0.218869175019189
chr1,132000001,0.218869175019189
chr11,6000001,0.21826308704772
chr17,80000001,0.217099142177604
chr6,165000001,0.216318824527289
