chrom	start	end	AA_hotspots
chr1	15497	18631	1
chr1	36224	37432	1
chr1	38426	40527	1
chr1	348168	349009	1
chr1	353112	354479	1
chr1	424174	426058	1
chr1	461281	462574	1
chr1	520942	522118	1
chr1	558521	560201	1
chr1	564174	565203	1
chr1	565394	566301	1
chr1	566538	567392	1
chr1	567883	569605	1
chr1	594935	596153	1
chr1	599718	600744	1
chr1	635159	637011	1
chr1	748011	750932	1
chr1	792215	794875	1
chr1	805012	806323	1
chr1	813815	815209	1
chr1	842482	844063	1
chr1	857347	858634	1
chr1	863031	864215	1
chr1	868435	870424	1
chr1	872278	875457	1
chr1	902285	903691	1
chr1	905314	907315	1
chr1	908672	911041	1
chr1	918694	920714	1
chr1	958939	960164	1
chr1	984131	986249	1
chr1	1019257	1020876	1
chr1	1024686	1027070	1
chr1	1035071	1036491	1
chr1	1064864	1065987	1
chr1	1104866	1107254	1
chr1	1118859	1121052	1
chr1	1142790	1143859	1
chr1	1154508	1156968	1
chr1	1161704	1162799	1
chr1	1170906	1172903	1
chr1	1175407	1176615	1
chr1	1187522	1188854	1
chr1	1218712	1220473	1
chr1	1222760	1224296	1
chr1	1224687	1226980	1
chr1	1307803	1309376	1
chr1	1360174	1361331	1
chr1	1367355	1368384	1
chr1	1444344	1445270	1
chr1	1459676	1461218	1
chr1	1468713	1472735	1
chr1	1517726	1520037	1
chr1	1558573	1559987	1
chr1	1577834	1579010	1
chr1	1596715	1598366	1
chr1	1602342	1603757	1
chr1	1609125	1611887	1
chr1	1619219	1620258	1
chr1	1641032	1642220	1
chr1	1656750	1658327	1
chr1	1686285	1687795	1
chr1	1690917	1693029	1
chr1	1693647	1694892	1
chr1	1732764	1733944	1
chr1	1773347	1774179	1
chr1	1878823	1880181	1
chr1	1890530	1892581	1
chr1	1892888	1894125	1
chr1	1900372	1902441	1
chr1	1920093	1920893	1
chr1	1921375	1926133	1
chr1	1970626	1972112	1
chr1	1976719	1978574	1
chr1	1982930	1985363	1
chr1	1998531	1999718	1
chr1	2033354	2034625	1
chr1	2111789	2112913	1
chr1	2121031	2122338	1
chr1	2143102	2144575	1
chr1	2211875	2214661	1
chr1	2215005	2217151	1
chr1	2218465	2221237	1
chr1	2229894	2231431	1
chr1	2237844	2240101	1
chr1	2242904	2244422	1
chr1	2254207	2255739	1
chr1	2270517	2271599	1
chr1	2273391	2274756	1
chr1	2300815	2302386	1
chr1	2323776	2326089	1
chr1	2345165	2347550	1
chr1	2354465	2355881	1
chr1	2364382	2366235	1
chr1	2367313	2369578	1
chr1	2381718	2382588	1
chr1	2403541	2406108	1
chr1	2406847	2408757	1
chr1	2420897	2422163	1
chr1	2466090	2467438	1
chr1	2584705	2586012	1
chr1	2629242	2630778	1
chr1	2738725	2739547	1
chr1	2752110	2752917	1
chr1	2775459	2777093	1
chr1	2779790	2781217	1
chr1	2790784	2792408	1
chr1	2804293	2805681	1
chr1	2875379	2876454	1
chr1	2878762	2880537	1
chr1	2885747	2887424	1
chr1	2896809	2898526	1
chr1	2920051	2920957	1
chr1	2997426	2999052	1
chr1	3007889	3009578	1
chr1	3011877	3013621	1
chr1	3014574	3015948	1
chr1	3036049	3037229	1
chr1	3056087	3058909	1
chr1	3061474	3063740	1
chr1	3099824	3101260	1
chr1	3109974	3111484	1
chr1	3117154	3118530	1
chr1	3147628	3148564	1
chr1	3164671	3166449	1
chr1	3173019	3174289	1
chr1	3195795	3197388	1
chr1	3211311	3212581	1
chr1	3236815	3237670	1
chr1	3240006	3241456	1
chr1	3265308	3267291	1
chr1	3271677	3274149	1
chr1	3293549	3295031	1
chr1	3300497	3301768	1
chr1	3320086	3321520	1
chr1	3331370	3333036	1
chr1	3339209	3340409	1
chr1	3347412	3348469	1
chr1	3351277	3353249	1
chr1	3404845	3406237	1
chr1	3412713	3414150	1
chr1	3417588	3419090	1
chr1	3432840	3433715	1
chr1	3456877	3458871	1
chr1	3460133	3461972	1
chr1	3491481	3492880	1
chr1	3495008	3496083	1
chr1	3496725	3497891	1
chr1	3511317	3512426	1
chr1	3517606	3519019	1
chr1	3582505	3584107	1
chr1	3589112	3590802	1
chr1	3602980	3605119	1
chr1	3633379	3634179	1
chr1	3654350	3656225	1
chr1	3679760	3682139	1
chr1	3702392	3704423	1
chr1	3781652	3782989	1
chr1	3783822	3785384	1
chr1	3834074	3836162	1
chr1	4002112	4003934	1
chr1	4009175	4011487	1
chr1	4017008	4018312	1
chr1	4031029	4032303	1
chr1	4054438	4056064	1
chr1	4063631	4065128	1
chr1	4105320	4106558	1
chr1	4113282	4114593	1
chr1	4139278	4140364	1
chr1	4152055	4154226	1
chr1	4178790	4179998	1
chr1	4234134	4235215	1
chr1	4285783	4286755	1
chr1	4288008	4288996	1
chr1	4294897	4296187	1
chr1	4297046	4298167	1
chr1	4379731	4381152	1
chr1	4495060	4496360	1
chr1	4513772	4514731	1
chr1	4515798	4517194	1
chr1	4542036	4542988	1
chr1	4640929	4641990	1
chr1	4712436	4713875	1
chr1	4749272	4750741	1
chr1	4751019	4752412	1
chr1	4853311	4854752	1
chr1	4897433	4898257	1
chr1	4900480	4901428	1
chr1	5000997	5002560	1
chr1	5019566	5020706	1
chr1	5090313	5091950	1
chr1	5135954	5137357	1
chr1	5142640	5143728	1
chr1	5305793	5307092	1
chr1	5310643	5312202	1
chr1	5317140	5318787	1
chr1	5346904	5348732	1
chr1	5357107	5358044	1
chr1	5377230	5378176	1
chr1	5403290	5404563	1
chr1	5442828	5443859	1
chr1	5461527	5462564	1
chr1	5574258	5575805	1
chr1	5630597	5632546	1
chr1	5638462	5639927	1
chr1	5677188	5678112	1
chr1	5707581	5709060	1
chr1	5729264	5730590	1
chr1	5858381	5859402	1
chr1	5913123	5914826	1
chr1	5934200	5936527	1
chr1	5959471	5961605	1
chr1	5967482	5968579	1
chr1	6006671	6008155	1
chr1	6059391	6060994	1
chr1	6064204	6067936	1
chr1	6112922	6114143	1
chr1	6131710	6132894	1
chr1	6137334	6139834	1
chr1	6143279	6146017	1
chr1	6214549	6215535	1
chr1	6219854	6222105	1
chr1	6282930	6283772	1
chr1	6284754	6286152	1
chr1	6328258	6330501	1
chr1	6445260	6446060	1
chr1	6534785	6536236	1
chr1	6628720	6629837	1
chr1	6639752	6641240	1
chr1	6682852	6684109	1
chr1	6742775	6743575	1
chr1	6967374	6968919	1
chr1	6975290	6977199	1
chr1	6977332	6978292	1
chr1	6999941	7002004	1
chr1	7036288	7037879	1
chr1	7042086	7043330	1
chr1	7091598	7092551	1
chr1	7129091	7130216	1
chr1	7131905	7133625	1
chr1	7169078	7171364	1
chr1	7181574	7182896	1
chr1	7202901	7203947	1
chr1	7219059	7220398	1
chr1	7234348	7235156	1
chr1	7245914	7248873	1
chr1	7324163	7325505	1
chr1	7363326	7365310	1
chr1	7377776	7378776	1
chr1	7398894	7400137	1
chr1	7487483	7489301	1
chr1	7509191	7510737	1
chr1	7560385	7561477	1
chr1	7603854	7604862	1
chr1	7607157	7608606	1
chr1	7615903	7617174	1
chr1	7708595	7710176	1
chr1	7875520	7876458	1
chr1	8029050	8031414	1
chr1	8136763	8137876	1
chr1	8335573	8336602	1
chr1	8350287	8351224	1
chr1	8408689	8409994	1
chr1	8418693	8420054	1
chr1	8507384	8509284	1
chr1	8599229	8600051	1
chr1	8635003	8636093	1
chr1	8646876	8648001	1
chr1	8753186	8754612	1
chr1	8802747	8804808	1
chr1	9043958	9045073	1
chr1	9067179	9069185	1
chr1	9322168	9324632	1
chr1	9361097	9362216	1
chr1	9366470	9368042	1
chr1	9397072	9398528	1
chr1	9471933	9472885	1
chr1	9500366	9501251	1
chr1	9533446	9534538	1
chr1	9654816	9656017	1
chr1	9664011	9665246	1
chr1	9688603	9689916	1
chr1	9781956	9782756	1
chr1	9976470	9977764	1
chr1	10235078	10236531	1
chr1	10483420	10485114	1
chr1	10520792	10522921	1
chr1	10642400	10644585	1
chr1	10653057	10654764	1
chr1	10665669	10666723	1
chr1	10676605	10678137	1
chr1	10681200	10682281	1
chr1	10697532	10698830	1
chr1	10756842	10758450	1
chr1	10762148	10763431	1
chr1	10802607	10805371	1
chr1	10814185	10815709	1
chr1	10841724	10842525	1
chr1	10864371	10865524	1
chr1	10887842	10888820	1
chr1	10934887	10935750	1
chr1	10964679	10966197	1
chr1	11018380	11019534	1
chr1	11026474	11027678	1
