chrom	start	end	AB2_hotspots
chr1	12769	13928	1
chr1	15497	18631	1
chr1	38426	40527	1
chr1	1024686	1027070	1
chr1	1035071	1036491	1
chr1	1069443	1071368	1
chr1	1104866	1107254	1
chr1	1154508	1156968	1
chr1	1187522	1188854	1
chr1	1222760	1224296	1
chr1	1224687	1226980	1
chr1	1468713	1472735	1
chr1	1517726	1520037	1
chr1	1558573	1559987	1
chr1	1609125	1611887	1
chr1	1690917	1693029	1
chr1	1890530	1892581	1
chr1	1900372	1902441	1
chr1	1921375	1926133	1
chr1	1982930	1985363	1
chr1	2215005	2217151	1
chr1	2229894	2231431	1
chr1	2254207	2255739	1
chr1	2300815	2302386	1
chr1	2323776	2326089	1
chr1	2364382	2366235	1
chr1	2403541	2406108	1
chr1	2406847	2408757	1
chr1	2584705	2586012	1
chr1	2618762	2620164	1
chr1	2627228	2628924	1
chr1	2804293	2805681	1
chr1	2878762	2880537	1
chr1	2885747	2887424	1
chr1	2896809	2898526	1
chr1	3056087	3058909	1
chr1	3061474	3063740	1
chr1	3109974	3111484	1
chr1	3164671	3166449	1
chr1	3195795	3197388	1
chr1	3240006	3241456	1
chr1	3265308	3267291	1
chr1	3271677	3274149	1
chr1	3412713	3414150	1
chr1	3456877	3458871	1
chr1	3460133	3461972	1
chr1	3511317	3512426	1
chr1	3589112	3590802	1
chr1	3602980	3605119	1
chr1	3654350	3656225	1
chr1	3679760	3682139	1
chr1	3702392	3704423	1
chr1	3783822	3785384	1
chr1	4009175	4011487	1
chr1	4054438	4056064	1
chr1	4063631	4065128	1
chr1	4152055	4154226	1
chr1	4379731	4381152	1
chr1	4749272	4750741	1
chr1	5090313	5091950	1
chr1	5135954	5137357	1
chr1	5317140	5318787	1
chr1	5630597	5632546	1
chr1	5662346	5663146	1
chr1	5707581	5709060	1
chr1	5934200	5936527	1
chr1	5959471	5961605	1
chr1	6006671	6008155	1
chr1	6064204	6067936	1
chr1	6137334	6139834	1
chr1	6143279	6146017	1
chr1	6219854	6222105	1
chr1	6284754	6286152	1
chr1	6328258	6330501	1
chr1	6639752	6641240	1
chr1	6999941	7002004	1
chr1	7036288	7037879	1
chr1	7169078	7171364	1
chr1	7245914	7248873	1
chr1	7487483	7489301	1
chr1	7607157	7608606	1
chr1	7708595	7710176	1
chr1	8029050	8031414	1
chr1	8802747	8804808	1
chr1	9067179	9069185	1
chr1	9322168	9324632	1
chr1	9366470	9368042	1
chr1	10483420	10485114	1
chr1	10642400	10644585	1
chr1	10676605	10678137	1
chr1	10756842	10758450	1
chr1	10802607	10805371	1
chr1	11289067	11290000	1
chr1	11710329	11712273	1
chr1	11907840	11909241	1
chr1	12768915	12770421	1
chr1	14440308	14441936	1
chr1	14443434	14444941	1
chr1	15099215	15101254	1
chr1	15152960	15154852	1
chr1	15181904	15183641	1
chr1	15372030	15373920	1
chr1	15425063	15427522	1
chr1	15570458	15572101	1
chr1	15648762	15650384	1
chr1	15672304	15674026	1
chr1	15685741	15687713	1
chr1	15745158	15746797	1
chr1	16050732	16052500	1
chr1	16892537	16893648	1
chr1	16968261	16969098	1
chr1	16977433	16978407	1
chr1	16982103	16983593	1
chr1	17076736	17078264	1
chr1	17200009	17200896	1
chr1	17348665	17350580	1
chr1	17918634	17920602	1
chr1	18662313	18664333	1
chr1	19050715	19052796	1
chr1	19195288	19196773	1
chr1	19406196	19408372	1
chr1	19679329	19682215	1
chr1	19973871	19975630	1
chr1	20060174	20062146	1
chr1	20139283	20141139	1
chr1	20468067	20469392	1
chr1	21009393	21011296	1
chr1	21015945	21016745	1
chr1	22005825	22007854	1
chr1	23086277	23087885	1
chr1	23183562	23185403	1
chr1	24416271	24418308	1
chr1	25305761	25307492	1
chr1	26110418	26112794	1
chr1	27630504	27632424	1
chr1	30161369	30163192	1
chr1	31316577	31318159	1
chr1	34373446	34375030	1
chr1	34568508	34569799	1
chr1	35216190	35217766	1
chr1	35227141	35228711	1
chr1	35367416	35369265	1
chr1	35379730	35381191	1
chr1	37019377	37021866	1
chr1	37403400	37404915	1
chr1	37950070	37951940	1
chr1	38558481	38560442	1
chr1	38602769	38604297	1
chr1	39549465	39551473	1
chr1	39921412	39922517	1
chr1	39974089	39975414	1
chr1	41287290	41288517	1
